dataset,filename,path,extension,duration_sec,sample_rate,channels,subtype,file_size_mb,status
aerosonicdb,000000_2022-12-08_09-05-46_0_0.wav,datasets\raw\aerosonicdb\audio\audio\0\000000_2022-12-08_09-05-46_0_0.wav,.wav,10.0,22050,1,PCM_16,0.421,OK
aerosonicdb,000000_2022-12-08_09-06-16_0_0.wav,datasets\raw\aerosonicdb\audio\audio\0\000000_2022-12-08_09-06-16_0_0.wav,.wav,10.0,22050,1,PCM_16,0.421,OK
aerosonicdb,000000_2022-12-08_09-06-46_0_0.wav,datasets\raw\aerosonicdb\audio\audio\0\000000_2022-12-08_09-06-46_0_0.wav,.wav,10.0,22050,1,PCM_16,0.421,OK
aerosonicdb,000000_2022-12-08_09-07-16_0_0.wav,datasets\raw\aerosonicdb\audio\audio\0\000000_2022-12-08_09-07-16_0_0.wav,.wav,10.0,22050,1,PCM_16,0.421,OK
aerosonicdb,000000_2022-12-08_09-07-46_0_0.wav,datasets\raw\aerosonicdb\audio\audio\0\000000_2022-12-08_09-07-46_0_0.wav,.wav,10.0,22050,1,PCM_16,0.421,OK
aerosonicdb,000000_2022-12-08_09-14-26_0_0.wav,datasets\raw\aerosonicdb\audio\audio\0\000000_2022-12-08_09-14-26_0_0.wav,.wav,10.0,22050,1,PCM_16,0.421,OK
aerosonicdb,000000_2022-12-08_09-14-56_0_0.wav,datasets\raw\aerosonicdb\audio\audio\0\000000_2022-12-08_09-14-56_0_0.wav,.wav,10.0,22050,1,PCM_16,0.421,OK
aerosonicdb,000000_2022-12-08_09-15-26_0_0.wav,datasets\raw\aerosonicdb\audio\audio\0\000000_2022-12-08_09-15-26_0_0.wav,.wav,10.0,22050,1,PCM_16,0.421,OK
aerosonicdb,000000_2022-12-08_09-15-57_0_0.wav,datasets\raw\aerosonicdb\audio\audio\0\000000_2022-12-08_09-15-57_0_0.wav,.wav,10.0,22050,1,PCM_16,0.421,OK
aerosonicdb,000000_2022-12-08_09-16-27_0_0.wav,datasets\raw\aerosonicdb\audio\audio\0\000000_2022-12-08_09-16-27_0_0.wav,.wav,10.0,22050,1,PCM_16,0.421,OK
aerosonicdb,000000_2022-12-08_09-26-37_0_0.wav,datasets\raw\aerosonicdb\audio\audio\0\000000_2022-12-08_09-26-37_0_0.wav,.wav,10.0,22050,1,PCM_16,0.421,OK
aerosonicdb,000000_2022-12-08_09-27-07_0_0.wav,datasets\raw\aerosonicdb\audio\audio\0\000000_2022-12-08_09-27-07_0_0.wav,.wav,10.0,22050,1,PCM_16,0.421,OK
