dataset,relative_path,file_name,extension,binary_label,label_origin,size_bytes,sha256,drone_type,movement,rotation,distance_m,height_m,azimuth_deg,recording_start,recording_end,temperature_c,humidity_percent,wind_speed_ms,wind_direction_deg,latitude,longitude
al_emadi,Binary_Drone_Audio/yes_drone/B_S2_D1_067-bebop_000_.wav,B_S2_D1_067-bebop_000_.wav,.wav,1,directory:Binary_Drone_Audio/yes_drone,32876,,,,,,,,,,,,,,,
al_emadi,Binary_Drone_Audio/yes_drone/B_S2_D1_067-bebop_001_.wav,B_S2_D1_067-bebop_001_.wav,.wav,1,directory:Binary_Drone_Audio/yes_drone,32876,,,,,,,,,,,,,,,
al_emadi,Binary_Drone_Audio/yes_drone/B_S2_D1_067-bebop_002_.wav,B_S2_D1_067-bebop_002_.wav,.wav,1,directory:Binary_Drone_Audio/yes_drone,32876,,,,,,,,,,,,,,,
al_emadi,Binary_Drone_Audio/yes_drone/B_S2_D1_067-bebop_003_.wav,B_S2_D1_067-bebop_003_.wav,.wav,1,directory:Binary_Drone_Audio/yes_drone,32876,,,,,,,,,,,,,,,
al_emadi,Binary_Drone_Audio/yes_drone/B_S2_D1_067-bebop_004_.wav,B_S2_D1_067-bebop_004_.wav,.wav,1,directory:Binary_Drone_Audio/yes_drone,28780,,,,,,,,,,,,,,,
al_emadi,Binary_Drone_Audio/yes_drone/B_S2_D1_068-bebop_000_.wav,B_S2_D1_068-bebop_000_.wav,.wav,1,directory:Binary_Drone_Audio/yes_drone,32876,,,,,,,,,,,,,,,
al_emadi,Binary_Drone_Audio/yes_drone/B_S2_D1_068-bebop_001_.wav,B_S2_D1_068-bebop_001_.wav,.wav,1,directory:Binary_Drone_Audio/yes_drone,32876,,,,,,,,,,,,,,,
al_emadi,Binary_Drone_Audio/yes_drone/B_S2_D1_068-bebop_002_.wav,B_S2_D1_068-bebop_002_.wav,.wav,1,directory:Binary_Drone_Audio/yes_drone,32876,,,,,,,,,,,,,,,
al_emadi,Binary_Drone_Audio/yes_drone/B_S2_D1_068-bebop_003_.wav,B_S2_D1_068-bebop_003_.wav,.wav,1,directory:Binary_Drone_Audio/yes_drone,32876,,,,,,,,,,,,,,,
al_emadi,Binary_Drone_Audio/yes_drone/B_S2_D1_068-bebop_004_.wav,B_S2_D1_068-bebop_004_.wav,.wav,1,directory:Binary_Drone_Audio/yes_drone,28780,,,,,,,,,,,,,,,
